Reference, Quantity, Value, Footprint, Datasheet, CodeCommande, Fournisseur, CodeCommand, codeCommande
C2 ,1,"10uf","Common_Footprint:R_0805","~","","Farnell","","1735530"
C1 C3 C4 C5 C6 ,5,"0.1uf","Common_Footprint:R_0402_NoSilk","~","","Farnell","","1759380"
J1 ,1,"Header5Contacts","Common_Footprint:826926-5","","1248143","Farnell","",""
J2 ,1,"l0_Shield_Socket","Common_Footprint:l0_Shield_Socket",""
L1 ,1,"3.3uh","Common_Footprint:1008","~","2530066","Farnell","",""
Q1 ,1,"Q_NPN_BEC","Common_Footprint:SOT-23","http://www.farnell.com/datasheets/2237012.pdf?_ga=2.140267120.2129514546.1561733527-1702651347.1516354365&_gac=1.151120587.1561733527.CjwKCAjw9dboBRBUEiwA7VrrzWnHr34G1kc61Qfk28RbXiMdWHAmM61ouBBegcdTx5Nz-hzwieipihoCo5MQAvD_BwE","","Farnell","2533332",""
R1 ,1,"20K","Common_Footprint:R_0402_NoSilk","~","2447133","Farnell","",""
R2 ,1,"8.2K","Common_Footprint:R_0402_NoSilk","~","2073272","Farnnell","",""
R3 R4 ,2,"100","Common_Footprint:R_0402_NoSilk","~","2447095","Farnell","",""
U1 ,1,"HX711","Common_Footprint:SOP-16_4.4x10.4mm_Pitch1.27mm","","?","?","",""